NAMESPACE                     LAST SEEN   TYPE      REASON              OBJECT                                           MESSAGE
kube-system                   8m20s       Normal    Pulled              pod/cilium-sgjp4                                 Container image "docker.io/cilium/cilium-dev:1233512912-nogit-wip" already present on machine and can be accessed by the pod
kube-system                   8m20s       Normal    Started             pod/cilium-sgjp4                                 Container started
kube-system                   8m20s       Normal    Scheduled           pod/cilium-sgjp4                                 Successfully assigned kube-system/cilium-sgjp4 to zkd01.fyre.ibm.com
kube-system                   8m18s       Normal    Created             pod/cilium-sgjp4                                 Container created
kube-system                   8m18s       Normal    Started             pod/cilium-sgjp4                                 Container started
kube-system                   8m18s       Normal    Pulled              pod/cilium-sgjp4                                 Container image "docker.io/cilium/cilium-dev:1233512912-nogit-wip" already present on machine and can be accessed by the pod
kube-system                   8m17s       Normal    Created             pod/cilium-sgjp4                                 Container created
kube-system                   8m17s       Normal    Started             pod/cilium-sgjp4                                 Container started
kube-system                   8m17s       Normal    Pulled              pod/cilium-sgjp4                                 Container image "docker.io/cilium/cilium-dev:1233512912-nogit-wip" already present on machine and can be accessed by the pod
kube-system                   8m16s       Normal    Started             pod/cilium-sgjp4                                 Container started
kube-system                   8m16s       Normal    Created             pod/cilium-sgjp4                                 Container created
kube-system                   8m16s       Normal    Pulled              pod/cilium-sgjp4                                 Container image "docker.io/cilium/cilium-dev:1233512912-nogit-wip" already present on machine and can be accessed by the pod
kube-system                   8m15s       Normal    Pulled              pod/cilium-sgjp4                                 Container image "docker.io/cilium/cilium-dev:1233512912-nogit-wip" already present on machine and can be accessed by the pod
kube-system                   8m15s       Normal    Created             pod/cilium-sgjp4                                 Container created
kube-system                   8m15s       Normal    Started             pod/cilium-sgjp4                                 Container started
kube-system                   8m14s       Normal    Pulled              pod/cilium-sgjp4                                 Container image "docker.io/cilium/cilium-dev:1233512912-nogit-wip" already present on machine and can be accessed by the pod
kube-system                   8m14s       Normal    Started             pod/cilium-sgjp4                                 Container started
kube-system                   8m14s       Normal    Created             pod/cilium-sgjp4                                 Container created
kube-system                   8m13s       Normal    Started             pod/cilium-sgjp4                                 Container started
kube-system                   8m13s       Normal    Created             pod/cilium-sgjp4                                 Container created
kube-system                   8m13s       Normal    Pulled              pod/cilium-sgjp4                                 Container image "docker.io/cilium/cilium-dev:1233512912-nogit-wip" already present on machine and can be accessed by the pod
kube-system                   8m7s        Warning   DNSConfigForming    pod/coredns-5bf8685f84-nsmbr                     Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 9.30.99.253 9.30.6.100 10.11.48.21
kube-system                   8m1s        Warning   Unhealthy           pod/coredns-5bf8685f84-v2t8x                     Readiness probe failed: Get "http://10.244.0.163:8181/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system                   5m38s       Warning   Unhealthy           pod/coredns-5bf8685f84-v2t8x                     Liveness probe failed: Get "http://10.244.0.163:8080/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system                   5m38s       Warning   Unhealthy           pod/coredns-5bf8685f84-nsmbr                     Liveness probe failed: Get "http://10.244.0.56:8080/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system                   4m55s       Warning   DNSConfigForming    pod/kube-controller-manager-zkd01.fyre.ibm.com   Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 9.30.99.253 9.30.6.100 10.11.48.21
kube-system                   4m38s       Warning   DNSConfigForming    pod/kube-apiserver-zkd01.fyre.ibm.com            Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 9.30.99.253 9.30.6.100 10.11.48.21
kube-system                   3m16s       Warning   DNSConfigForming    pod/cilium-envoy-rz5ch                           Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 9.30.99.253 9.30.6.100 10.11.48.21
kube-system                   2m55s       Warning   DNSConfigForming    pod/cilium-operator-7d796b74f8-bmc6k             Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 9.30.99.253 9.30.6.100 10.11.48.21
kube-system                   2m6s        Warning   DNSConfigForming    pod/cilium-sgjp4                                 Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 9.30.99.253 9.30.6.100 10.11.48.21
kube-system                   108s        Normal    Killing             pod/coredns-5bf8685f84-nsmbr                     Container coredns failed liveness probe, will be restarted
kube-system                   108s        Normal    Killing             pod/coredns-5bf8685f84-v2t8x                     Container coredns failed liveness probe, will be restarted
kube-system                   103s        Normal    Started             pod/coredns-5bf8685f84-v2t8x                     Container started
kube-system                   103s        Normal    Started             pod/coredns-5bf8685f84-nsmbr                     Container started
kube-system                   103s        Normal    Pulled              pod/coredns-5bf8685f84-nsmbr                     Container image "registry.k8s.io/coredns/coredns:v1.13.1" already present on machine and can be accessed by the pod
