NAMESPACE     LAST SEEN   TYPE      REASON              OBJECT                                           MESSAGE
kube-system   10m         Normal    Created             pod/cilium-qcpq4                                 Container created
kube-system   10m         Normal    Started             pod/cilium-qcpq4                                 Container started
kube-system   10m         Normal    Pulled              pod/cilium-qcpq4                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix2-20260221T163855Z" already present on machine and can be accessed by the pod
kube-system   10m         Normal    Created             pod/cilium-qcpq4                                 Container created
kube-system   10m         Normal    Pulled              pod/cilium-qcpq4                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix2-20260221T163855Z" already present on machine and can be accessed by the pod
kube-system   10m         Normal    Started             pod/cilium-qcpq4                                 Container started
kube-system   4m41s       Warning   DNSConfigForming    pod/etcd-zkd01.fyre.ibm.com                      Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 9.30.99.253 9.30.6.100 10.11.48.21
kube-system   4m27s       Warning   DNSConfigForming    pod/kube-controller-manager-zkd01.fyre.ibm.com   Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 9.30.99.253 9.30.6.100 10.11.48.21
kube-system   4m20s       Warning   DNSConfigForming    pod/kube-proxy-vhb8x                             Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 9.30.99.253 9.30.6.100 10.11.48.21
kube-system   4m15s       Warning   DNSConfigForming    pod/kube-scheduler-zkd01.fyre.ibm.com            Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 9.30.99.253 9.30.6.100 10.11.48.21
kube-system   3m50s       Warning   DNSConfigForming    pod/kube-apiserver-zkd01.fyre.ibm.com            Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 9.30.99.253 9.30.6.100 10.11.48.21
kube-system   3m45s       Warning   DNSConfigForming    pod/coredns-5bf8685f84-nsmbr                     Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 9.30.99.253 9.30.6.100 10.11.48.21
kube-system   3m10s       Warning   DNSConfigForming    pod/coredns-5bf8685f84-v2t8x                     Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 9.30.99.253 9.30.6.100 10.11.48.21
kube-system   2m10s       Warning   DNSConfigForming    pod/cilium-envoy-rz5ch                           Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 9.30.99.253 9.30.6.100 10.11.48.21
kube-system   115s        Warning   DNSConfigForming    pod/cilium-operator-7d796b74f8-bmc6k             Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 9.30.99.253 9.30.6.100 10.11.48.21
kube-system   8s          Warning   DNSConfigForming    pod/cilium-qcpq4                                 Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 9.30.99.253 9.30.6.100 10.11.48.21
